|#|Kanji|Onyomi|Kunyomi|Kanji Meaning|
|1344|蛮|ban|ebisu|barbarian|
|1345|塙|kaku, kou|hanawa, kata(i)|projecting tableland or mountain|
|1346|冴|go, ko|sa(eru), koo(ru), hi(eru)|be clear, serene, cold, skilful|
|1347|旺|ou, kyou, gou|kagaya(ki), utsukushi(i), sakan|flourishing, successful, beautiful, vigorous|
|1348|葦|i|ashi, yoshi, shio(reru), shina(biru), shibo(mu), na(eru)|reed, bullrush|
|1349|礒|gi, ga|iso, iwao|rock, beach, shore|
|1350|咸|kan, gen||all, same|
|1351|萌|hou|mo(eru), kiza(su), mebae|show symptoms of, sprout, bud, malt|
|1352|饗|kyou|u(keru), motena(su)|banquet|
|1353|歪|wai, e|iga(mu), ibitsu, hizu(mu), yuga(mu)|warp, bend, strained, distort|
|1354|冥|mei, myou|kura(i)|dark|
|1355|偲|sai, shi|shino(bu)|recollect, remember|
|1356|壱|ichi, itsu|hitotsu|one (in documents)|
|1357|瑠|ru, ryuu||lapis lazuli|
|1358|韮|kyuu, ku|nira|leek|
|1359|漕|sou|ko(gu), hako(bu)|rowing, scull, paddle|
|1360|杵|sho, so|kine|wooden pestle|
|1361|薔|ba, shou, shoku, sou|mizutade|water pepper|
|1362|膠|kou, kyou|nikawa, nibe|glue, isinglass|
|1363|允|in|jou, makoto(ni), yurusu|license, sincerity, permit|
|1364|眞|shin|ma, makoto|truth, reality, Buddhist sect|
|1365|蒙|mou, bou|koumu(ru), oo(u), kura(i)|ignorance, darkness, get, receive, be subjected to, sustain, Mongolia|
|1366|蕃|ban, han||grow luxuriously|
|1367|呑|ton, don|no(mu)|drink|
|1368|侯|kou||marquis, lord, daimyo|
|1369|碓|kaku, tai|tashi(ka), kaku(taru)|pestle|
|1370|茗|myou, mei|cha|tea|
|1371|麓|roku|fumoto|foot of a mountain|
|1372|瀕|hin|hotori|shore, brink, verge|
|1373|蒔|shi, ji|u(eru), ma(ku)|sow (seeds)|
|1374|鯉|ri|koi|carp|
|1375|竪|ju|tate, ta(teru), kodomo|length, height, warp|
|1376|弧|ko||arc, arch, bow|
|1377|稽|kei|kanga(eru), todo(meru)|think, consider|
|1378|瘤|ryuu, ru|kobu|lump, swelling|
|1379|澤|taku|sawa, uruo(i), uruo(su), tsuya|swamp|
|1380|溥|fu, haku|amaneshi|far and wide|
|1381|遥|you|haru(ka)|far off, distant, long ago|
|1382|蹴|shuku, shuu|ke(ru)|kick|
|1383|或|waku, koku, iki|a(ru), arui, aruiwa|some, one, or, possibly, a certain|
|1384|訃|fu|shirase|obituary|
|1385|矩|ku|kane, kanezashi, sashigane|ruler, carpenter's square|
|1386|厦|ka, sa|ie|house|
|1387|冤|en||false charge, hatred|
|1388|剥|haku, hoku|he(gu), mu(ku), ha(gareru)|come off, peel, fade, discolor|
|1389|舜|shun||type of morning glory, rose of Sharon, althea|
|1390|侠|kyou|kyan, otokodate|tomboy, chivalry|
|1391|贅|zei, sei|ibo|luxury|
|1392|杖|jou|tsue|staff, cane|
|1393|蓋|gai, kai, kou|futa, keda(shi), oo(u), kasa, kakou|cover, lid, flap|
|1394|畏|i|oso(reru), kashikoma(ru), kashiko, kashiko(shi)|fear, majestic, graciously, be apprehensive|
|1395|喉|kou|nodo|throat, voice|
|1396|汪|ou||flowing full, expanse of water, wide, deep|
|1397|猷|yuu, you|hakarigoto, haka(ru)|plan, scheme, plot, way|
|1398|瑛|ei||sparkle of jewelry, crystal|
|1399|搜|sou, shu, shuu|saga(su)|search, seek, investigate|
|1400|曼|man, ban|naga(i)|wide, beautiful|
|1401|附|fu|tsu(keru), tsu(ku)|affixed, attach, refer to, append|
|1402|彪|hyou, hyuu|aya|spotted, mottled, patterned, small tiger|
|1403|撚|nen|yo(ru), yo(reru), yori, hi(neru)|twist, twine, kinky|
|1404|噛|kou, gou|ka(mu), ka(jiru)|chew, bite, gnaw|
|1405|卯|bou, mou|u|sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east|
|1406|桝||masu|measuring box, (kokuji)|
|1407|撫|bu, fu|na(deru)|stroke, pat, smooth down|
|1408|喋|chou, tou|shabe(ru), tsuiba(mu)|talk, chat, chatter|
|1409|但|tan|tada(shi)|however, but|
|1410|溢|itsu|kobo(reru), afu(reru), mi(chiru)|overflow, inundate, spill|
|1411|闊|katsu|hiro(i)|wide|
|1412|藏|zou, sou|kura, osa(meru), kaku(reru)|hide, own, have, possess|
|1413|浙|setsu||name of a Chinese river|
|1414|彭|hou||swelling, sound of drum|
|1415|淘|tou|yona(geru)|select|
|1416|剃|tei|mai, so(ru), su(ru)|shave|
|1417|揃|sen|soro(eru), ki(ru)|be complete, uniform, all present|
|1418|綺|ki|aya|figured cloth, beautiful|
|1419|徘|hai|samayo(u)|wander|
|1420|巷|kou|chimata|fork in road, scene, arena, theater|
|1421|竿|kan|sao|pole, rod, scale beam, violin neck|
|1422|蟹|kai|kani|crab|
|1423|芋|u|imo|potato|
|1424|袁|en, on||long kimono|
|1425|舩|sen|fune, funa-|boat, ship, vessel|
|1426|拭|shoku, shiki|nugu(u), fu(ku)|wipe, mop, swab|
|1427|茜|sen|akane|madder, red dye, Turkey red|
|1428|凌|ryou|shino(gu)|endure, keep (rain)out, stave off, tide over, defy, slight, surpass|
|1429|頬|kyou|hoo, hoho|cheeks, jaw|
|1430|厨|shuu, zu, chu, chuu|kuriya|kitchen|
|1431|犀|sai, sei||rhinoceros|
|1432|簑|sa, sai|mino|a coat raincoat|
|1433|皓|kou|shiro(i), hika(ru)|white, clear|
|1434|甦|so, kou|yomigae(ru)|be resuscitated, revived|
|1435|洸|kou||sparkling water|
|1436|毬|kyuu|iga, mari|burr, ball|
|1437|檄|keki|geki(suru), furebumi|written appeal, manifesto|
|1438|姚|you, chou|utsuku(shii)|beautiful|
|1439|蛭|shitsu, chitsu|hiru|leech|
|1440|婆|ba|baba, baa|old woman, grandma, wet nurse|
|1441|叢|sou, su|kusamura, mura(garu), mura|plexus, clump of bushes, thicket|
|1442|椙||sugi|Japanese cedar, cryptomeria, (kokuji)|
|1443|轟|gou, kou|todoro(kasu), todoro(ku)|roar, thunder, boom resound|
|1444|贋|gan|nise|counterfeit, forgery|
|1445|洒|sha, son, sai, sen, sei|susu(gu), ara(u)|wash, sprinkle|
|1446|貰|sei, sha|mora(u)|get, have, obtain|
|1447|儲|cho|mou(keru), mou(karu), mouke, takuwa(eru)|be profitable, yield profit|
|1448|緋|hi|ake, aka|scarlet, cardinal|
|1449|諜|chou|chou(zuru), ukaga(u), shime(su)|spy out, reconnoiter|
|1450|鯛|chou|tai|sea bream, red snapper|
|1451|蓼|shin, riku, ryou|tade|luxurious grass, a smartweed|
|1452|甕|ou|kame, mika|jar, jug, vat|
|1453|喘|zen, sen|ae(gu), seki|pant, gasp, breathe hard|
|1454|怜|rei, ren, ryou|awa(remu), sato(i)|wise|
|1455|溜|ryuu|ta(maru), tama(ru), shitata(ru)|collect, gather, be in arrears|
|1456|邑|yuu|mura|village, rural community, right village radical (no. 163)|
|1457|鉾|bou, mu|hoko|halberd, arms, festival float|
|1458|倣|hou|nara(u)|emulate, imitate|
|1459|碧|heki, hyaku||blue, green|
|1460|燈|tou|hi, ho-, tomoshibi, tomo(su), akari|lamp, light, counter for lights|
|1461|諦|tei, tai|akira(meru), tsumabiraka, makoto|truth, clarity, abandon, give up|
|1462|煎|sen|sen(jiru), i(ru), ni(ru)|broil, parch, roast, boil|
|1463|瓜|ka, ke|uri|melon|
|1464|緻|chi|komaka(i)|fine (i.e. not coarse)|
|1465|哺|ho|haguku(mu), fuku(mu)|nurse, suckle|
|1466|槌|tsui|tsuchi|hammer, mallet|
|1467|啄|taku, tsuku, toku|tsuiba(mu), tsutsu(ku)|peck, pick up|
|1468|穣|jou|wara, yutaka|good crops, prosperity, 10**28|
|1469|嗜|shi|tashina(mu), kono(mu)|like, taste, modest|
|1470|偕|kai|tomoni|together|
|1471|罵|ba|nonoshi(ru)|abuse, insult|
|1472|酉|yuu|tori|west, bird, sign of the bird, 5-7PM, tenth sign of Chinese zodiac, sake radical (no. 164)|
|1473|蹄|tei|hidzume|hoof|
|1474|頚|kei|kubi|neck, head|
|1475|胚|hai|harami, hara(mu)|embryo|
|1476|牢|rou|kata(i), hitoya|prison, jail, hardness|
|1477|糞|fun|kuso|shit, feces, excrement|
|1478|悌|tei, dai||serving our elders|
|1479|吊|chou|tsu(ru), tsuru(su)|suspend, hang, wear (sword)|
|1480|楕|da, ta||ellipse|
|1481|鮭|kai, kei|sake, shake, fugu|salmon|
|1482|乞|kotsu, kitsu, ki, kike, kochi|ko(u)|beg, invite, ask|
|1483|倹|ken|tsuma(shii), tsudzumayaka|frugal, economy, thrifty|
|1484|嗅|kyuu|ka(gu)|smell, sniff, scent|
|1485|詫|ta|wabi, wabi(shii), kakotsu, wa(biru)|apologize|
|1486|鱒|son, sen, zan|masu|salmon trout|
|1487|蔑|betsu|naigashiro, nami(suru), kurai, sagesu(mu)|ignore, despise, neglect, ridicule|
|1488|轍|tetsu|wadachii, wadachi|rut, wheel track|
|1489|醤|shou|hishio|a kind of miso|
|1490|惚|kotsu|hoke(ru), bo(keru), ho(reru)|fall in love with, admire, grow senile|
|1491|廣|kou|hiro(i)|broad, wide, spacious|
|1492|藁|kou|wara|straw|
|1493|柚|yu, yuu, jiku|yuzu|citron|
|1494|舛|bu, sen|mai, somu(ku)|dancing radical (no. 136)|
|1495|縞|kou|shima, shiroginu|stripe|
|1496|謳|ou, u|uta(u)|extol, declare, express|
|1497|杞|ko, ki||river willow|
|1498|鱗|rin|uroko, koke, kokera|scales (fish)|
|1499|繭|ken|mayu, kinu|cocoon|
|1500|釘|tei, chou|kugi|nail, tack, peg|
|1501|弛|chi, shi|taru(mu), tayu(mu), yuru(mu)|slacken, relax|
|1502|狸|ri, rai|tanuki|tanuki, raccoon|
|1503|壬|nin, jin, i|mizunoe|9th calendar sign|
|1504|硯|ken, gen|suzuri|inkstone|
